baremetal_entry_closure_class_instantiation_fault_2026-07-06.md	DB	P1	Baremetal --entry-closure imported-class instantiation faults at runtime	src/app/cli/native_build_main.spl	0	examples/09_embedded/simple_os/arch/x86_64/class_fault_probe_entry.spl	Status still INVESTIGATING; probe entry and shared module still present, no fix commit found for the mode= last-wins injection
baremetal_option_field_unwrap_faults_class_2026-07-18.md	DB	P1	Option-unwrap / if-val field access faults on baremetal native codegen	src/compiler/50.mir/mir_lowering_stmts.spl	0	NONE	Doc explicitly tracks the CLASS; only per-site workarounds landed, codegen owner never fixed; silent fault cr2=0x0 with no diagnostic
bootstrap_stage1_native_build_llvm_icmp_segfault_2026-07-09.md	DB	P1	Stage 1 SIGSEGV in LLVM ConstantFolder::FoldCmp via interpreted LLVMBuildICmp	src/compiler_rust/compiler/src/elf_utils.rs	0	NONE	Status OPEN, root-caused from a macOS crash report; blocks bin/simple build bootstrap on aarch64-apple-darwin and no fix commit exists
compiled_checker_asm_volatile_indent_gap_2026-08-03.md	DB	P2	Compiled checker rejects asm-volatile indented block in riscv cmo.spl	src/compiler/10.frontend/core/parser.spl	0	NONE	Status "open, rerouted"; src/lib/nogc_async_mut_noalloc/baremetal/riscv/cmo.spl still present as the repro input
ed25519_live_baremetal_self_test_unproven_2026-06-06.md	DB	P2	Ed25519 baremetal self-test in the SSHD QEMU lane has never produced a passing transcript	src/os/apps/sshd/sshd.spl	0	test/02_integration/os/apps/sshd/sshd_production_packet_transcript_spec.spl	Doc Status: Open; sshd.spl and the transcript spec both still present, no fixing commit found
engine2d_interpreted_mirror_dominates_render_2026-07-03.md	DB	P2	Per-op interpreted mirror runs before every backend op, making all backends equally slow	src/lib/gc_async_mut/gpu/engine2d/engine.spl	0	test/perf/graphics_2d/bench_span_kernels.spl	Perf doc with no status/fix; metal parity doc confirms self.mirror.draw_image(...) always runs first
engine2d_metal_draw_image_parity_coverage_gap_2026-07-07.md	DB	P3	draw_image/kernel_blit_image has a Metal dispatch path but zero CPU-vs-Metal parity cov...	src/lib/gc_async_mut/gpu/engine2d/backend_metal_msl.spl	0	test/02_integration/rendering/engine2d_shared_raster_parity_spec.spl	Coverage gap doc, no fix claim; parity spec exists but doc records no draw_image case added
engine2d_metal_gpu_only_clip_unimplemented_2026-07-06.md	DB	P3	Metal GPU-only-mode scissor clip is implemented but has no native execution evidence	src/lib/gc_async_mut/gpu/engine2d/backend_metal.spl	0	NONE	Doc Status: implemented; current-source native Metal evidence pending - evidence gap only, needs macOS host
gui_smf_dynlib_hot_call_runtime_missing_2026-06-01.md	DB	P3	macOS arm64 .dylib SMF hot-call evidence still missing; only Linux host evidence passes	src/app/gui_perf/smf_dynlib_probe.spl	0	NONE	Status open; Linux path passes under 1ms, macOS arm64 dylib evidence never produced; no macOS host available here
gui_web_2d_retained_metal_simd_wm_perf_evidence_gap_2026-07-06.md	DB	P2	No retained Metal/SIMD WM perf evidence row exists for hosted WM or SimpleOS WM	src/lib/gc_async_mut/gpu/engine2d/engine.spl	0	NONE	Status open severity high; no gate emits viewport+backend+p50/p95+checksum retained row; no fix commit found
